File_Name,Hu_Moment_1,Hu_Moment_2,Hu_Moment_3,Hu_Moment_4,Hu_Moment_5,Hu_Moment_6,Hu_Moment_7,Perimeter,Diameter,Area
Scaevola_taccada12_original_0.jpg,0.19760602996791576,0.01286867937537389,0.00019625872735556238,4.822669039257541e-05,4.6742741698376455e-09,5.444441406821989e-06,4.0592537516010374e-10,1452.594136595726,158.77100845695702,19798.5
Scaevola_taccada12_original_270.jpg,0.1957570916315078,0.01215838589563951,0.00017841697644195323,4.373433156285055e-05,3.8568331673921225e-09,4.820427355540624e-06,2.2242013969202054e-10,1483.12104845047,159.00940500282007,19858.0
Scaevola_taccada12_original_90.jpg,0.19592009447744563,0.012228041494567283,0.00017221709695469444,4.1438593992625315e-05,3.47710630207522e-09,4.535202132699408e-06,4.0510553391153673e-10,1393.8245853185654,159.10746446410639,19882.5
Scaevola_taccada12_vertical_0.jpg,0.19609730905715772,0.012314036998641219,0.00018003469028277558,4.182345314542413e-05,3.616655800478638e-09,4.630908353207521e-06,-3.011861979688128e-10,1346.9545274972916,159.32138451519998,19936.0
Scaevola_taccada12_vertical_270.jpg,0.1969696577152864,0.012669330433501252,0.00021818610019474545,4.882982172023566e-05,5.003987135292059e-09,5.4001781532306905e-06,-6.024664276415264e-10,1591.4297034740448,159.2574385425197,19920.0
Scaevola_taccada12_vertical_90.jpg,0.1960150338617784,0.012313074645590685,0.0001624488381634147,3.8660825245835635e-05,3.0508634225937442e-09,4.2632070666713025e-06,-2.8160346169191217e-10,1513.263182759285,159.15347153914465,19894.0
Scaevola_taccada13_horizontal_0.jpg,0.21186230493154118,0.01871187929875322,0.00012743118847462415,4.540616774659819e-05,3.452244889871265e-09,6.2078383461241116e-06,1.0701110158366671e-10,1193.3737934827805,141.15793373145178,15649.5
Scaevola_taccada13_horizontal_270.jpg,0.21105701788472533,0.01836363038327371,0.00011932300066302345,4.370301417165824e-05,3.152529939586958e-09,5.860057308172897e-06,1.467380902806959e-10,1390.3098657131195,141.25261160690928,15670.5
Scaevola_taccada13_horizontal_90.jpg,0.21086454020692058,0.01824546410797215,0.00012262188759479186,4.66361934455018e-05,3.524961560231679e-09,6.271644446423846e-06,1.1075177792254998e-10,1257.1139075756073,140.93225421491056,15599.5
Scaevola_taccada13_original_0.jpg,0.2104730768640118,0.018033401004611146,0.0001119586746363895,4.199319003459351e-05,2.8779303982642578e-09,5.577608044714965e-06,-9.097669451285068e-11,1347.1971671581268,141.12184926146287,15641.5
Scaevola_taccada13_original_270.jpg,0.21007139791159601,0.017846690569759384,0.00011007159988374809,4.1274677872535825e-05,2.779060812425664e-09,5.418827592339099e-06,-1.286884958408869e-10,1380.6113810539246,141.34947801808175,15692.0
Scaevola_taccada13_original_90.jpg,0.21163515325352125,0.018645722149195926,9.372825438537398e-05,3.6861978604357724e-05,2.1640203969991954e-09,4.980479483423817e-06,-1.0816983178465977e-10,1299.256043791771,141.46428010057846,15717.5
Scaevola_taccada13_vertical_0.jpg,0.21024809712239742,0.017935592540844276,9.472026490311352e-05,3.7723580866247006e-05,2.253644287171216e-09,5.016840881140445e-06,7.731944758263996e-11,1365.5403136014938,141.50927510174827,15727.5
Scaevola_taccada13_vertical_270.jpg,0.21086454020692058,0.01824546410797215,0.00012262188759479186,4.66361934455018e-05,3.524961560231679e-09,6.271644446423846e-06,1.1075177792254998e-10,1257.1139075756073,140.93225421491056,15599.5
Scaevola_taccada13_vertical_90.jpg,0.21105701788472533,0.01836363038327371,0.00011932300066302345,4.370301417165824e-05,3.152529939586958e-09,5.860057308172897e-06,1.467380902806959e-10,1390.3098657131195,141.25261160690928,15670.5
