File_Name,ASM,Contrast,IDM,Entropy,Correlation
Avicennia alba\Avicennia.alba_1.jpg,0.4785881415612069,213.0650533973901,0.7449138586127558,18.80831296019933,0.9828224558577483
Avicennia alba\Avicennia.alba_10.jpg,0.5135133403230345,263.940975826178,0.7668612183146227,16.90034937024834,0.97948717257459
Avicennia alba\Avicennia.alba_11.jpg,0.49373397862307383,338.15566555994593,0.7502052394265452,18.168745788444653,0.972647798628904
Avicennia alba\Avicennia.alba_12.jpg,0.5808652852131924,224.134104063944,0.799222903415906,14.874487203316079,0.9782318735178854
Avicennia alba\Avicennia.alba_13.jpg,0.40714541765498063,243.690117045324,0.6967819592831648,21.67725999488765,0.9836957241299158
Avicennia alba\Avicennia.alba_14.jpg,0.5051586344762141,285.99782015528905,0.7610092701398479,17.171149371812422,0.9790577966717505
Avicennia alba\Avicennia.alba_15.jpg,0.4652897581960971,210.23274359903837,0.7431219893786893,18.50954824897945,0.9817018751168145
Avicennia alba\Avicennia.alba_16.jpg,0.5202312488085873,133.5636660045215,0.7696265538734797,16.83036385849213,0.9862214164455203
Avicennia alba\Avicennia.alba_17.jpg,0.28603427763734474,236.91302995257007,0.6169827959219906,26.576422260143307,0.9817255531589268
Avicennia alba\Avicennia.alba_18.jpg,0.4557675929817875,247.04755398413593,0.7365363220710559,19.07535521410176,0.9795646991631461
Avicennia alba\Avicennia.alba_19.jpg,0.4178071360878094,183.93860414400046,0.7098182134087458,20.74535731322089,0.9826394364472163
Avicennia alba\Avicennia.alba_2.jpg,0.48873343721146356,252.33699433304326,0.7504237255535037,17.9087750894255,0.9817143460788169
Avicennia alba\Avicennia.alba_20.jpg,0.3298606541268417,336.6681191451173,0.639342840617568,25.645809893003136,0.9792242252514008
Avicennia alba\Avicennia.alba_21.jpg,0.42124348861291844,276.5142235650784,0.7064423570248146,20.77749179699299,0.9800742223953844
Avicennia alba\Avicennia.alba_22.jpg,0.42124348861291844,276.5142235650784,0.7064423570248146,20.77749179699299,0.9800742223953844
Avicennia alba\Avicennia.alba_23.jpg,0.4153099626540962,248.27540570697806,0.7015992523984905,21.0138612879782,0.9814606428685383
Avicennia alba\Avicennia.alba_24.jpg,0.33941975874585373,241.32534474018462,0.652034622119823,24.376704129197066,0.9826948105841338
Avicennia alba\Avicennia.alba_25.jpg,0.48935377074937886,220.41958102712908,0.7487339234706211,18.105934905953635,0.9807357393868391
Avicennia alba\Avicennia.alba_26.jpg,0.48935377074937886,220.41958102712908,0.7487339234706211,18.105934905953635,0.9807357393868391
Avicennia alba\Avicennia.alba_27.jpg,0.5194101959024744,299.7175152669098,0.7651667486997722,16.846835266738708,0.9784594938188483
Avicennia alba\Avicennia.alba_28.jpg,0.5194101959024744,299.7175152669098,0.7651667486997722,16.846835266738708,0.9784594938188483
Avicennia alba\Avicennia.alba_29.jpg,0.5238889054095421,255.358933947543,0.7708866921989566,16.68845675211982,0.9752336335101439
Avicennia alba\Avicennia.alba_3.jpg,0.2589312808413584,271.69628149169887,0.5930758778037062,27.81603748227001,0.9799335028551316
Avicennia alba\Avicennia.alba_30.jpg,0.5238889054095421,255.358933947543,0.7708866921989566,16.68845675211982,0.9752336335101439
Avicennia alba\Avicennia.alba_31.jpg,0.36964302103142976,212.988079728527,0.6763444153801991,22.77882535904646,0.9831953440711034
Avicennia alba\Avicennia.alba_32.jpg,0.4472722028801539,220.15222216001996,0.7271525404160963,19.415378147724166,0.9813376153863193
Avicennia alba\Avicennia.alba_33.jpg,0.35254529081452946,326.4095108589352,0.6566658538378124,24.21056847723892,0.9814767257549439
Avicennia alba\Avicennia.alba_34.jpg,0.35254529081452946,326.4095108589352,0.6566658538378124,24.21056847723892,0.9814767257549439
Avicennia alba\Avicennia.alba_35.jpg,0.3099997702325738,281.444705214413,0.6321257177394581,25.90861772161832,0.9815844285801331
Avicennia alba\Avicennia.alba_36.jpg,0.35613947613551994,254.12462689404316,0.6672294314664697,23.557364060598193,0.9837991316771737
Avicennia alba\Avicennia.alba_37.jpg,0.35613947613551994,254.12462689404316,0.6672294314664697,23.557364060598193,0.9837991316771737
Avicennia alba\Avicennia.alba_38.jpg,0.3593579914702191,220.5875264033675,0.6722239585912155,23.213390684668195,0.9849473002569201
Avicennia alba\Avicennia.alba_39.jpg,0.3408088486104558,225.8406409945228,0.655734557924329,23.974283152650408,0.9827015267570798
Avicennia alba\Avicennia.alba_4.jpg,0.38088383376357915,249.31646954454214,0.6802009697398548,22.365683258886634,0.9817816896155716
Avicennia alba\Avicennia.alba_40.jpg,0.3669497317301453,235.2117815126866,0.6727592977908249,23.003471966038045,0.985222354626382
Avicennia alba\Avicennia.alba_41.jpg,0.4679887724266255,239.2083081150376,0.7407250541396851,18.54228706768564,0.9831107684449732
Avicennia alba\Avicennia.alba_42.jpg,0.4679887724266255,239.2083081150376,0.7407250541396851,18.54228706768564,0.9831107684449732
Avicennia alba\Avicennia.alba_43.jpg,0.42396922087029026,235.9341604844535,0.70964832427523,21.016488350081886,0.9837340919309622
Avicennia alba\Avicennia.alba_44.jpg,0.42396922087029026,235.9341604844535,0.70964832427523,21.016488350081886,0.9837340919309622
Avicennia alba\Avicennia.alba_45.jpg,0.3812146291516598,282.44938135600137,0.679978046321243,22.477391225316463,0.9806914154652573
Avicennia alba\Avicennia.alba_46.jpg,0.3812146291516598,282.44938135600137,0.679978046321243,22.477391225316463,0.9806914154652573
Avicennia alba\Avicennia.alba_47.jpg,0.3356241009391736,383.82000173294387,0.6421117768706497,25.120933853450897,0.9769426331438906
