ASM,Contrast,IDM,Entropy,Correlation,File_Name
0.43690483078981635,201.26292322137198,0.7264664460853365,20.359178117401246,0.9846416472545048,Avicennia alba\Avicennia.alba_1.jpg
0.47963564149871674,220.20114220167136,0.7529982534096094,18.242695107415837,0.9838157714023887,Avicennia alba\Avicennia.alba_10.jpg
0.4522143708439094,294.1299161174865,0.7324164619740771,19.775223206974704,0.9774441524920472,Avicennia alba\Avicennia.alba_11.jpg
0.5465207025599161,197.2240010717824,0.786177585539222,16.109373570842028,0.9820072141384859,Avicennia alba\Avicennia.alba_12.jpg
0.3719954816579566,218.4777279974502,0.6798815256759885,23.230398283327347,0.9859954212512344,Avicennia alba\Avicennia.alba_13.jpg
0.4756583105868889,248.03770523313375,0.7478743235757375,18.421073637146954,0.9828147372467633,Avicennia alba\Avicennia.alba_14.jpg
0.42425503089465744,177.3505417818166,0.7259249328980586,20.078829477224673,0.9852994762275868,Avicennia alba\Avicennia.alba_15.jpg
0.4821314862976597,128.01513924319835,0.7539740536854509,18.21633525097236,0.9875363717305284,Avicennia alba\Avicennia.alba_16.jpg
0.24360984165486663,206.18365553252502,0.5935518618434867,28.582419494723446,0.9843965552908998,Avicennia alba\Avicennia.alba_17.jpg
0.41064225363531365,208.41819953762706,0.7163237885595707,20.80688194595907,0.983577254809277,Avicennia alba\Avicennia.alba_18.jpg
0.3751428483948725,163.70399513711743,0.6904870581304188,22.489503140777447,0.985219651259037,Avicennia alba\Avicennia.alba_19.jpg
0.44341035223279995,219.27172636762901,0.7311766573067304,19.546938735366155,0.984929787316172,Avicennia alba\Avicennia.alba_2.jpg
0.29147408732468716,318.8930102040851,0.6200535388340356,27.44903427862133,0.98098792972943,Avicennia alba\Avicennia.alba_20.jpg
0.3782582751521565,228.1453212248447,0.6876210923490621,22.51740608056232,0.9842453082463041,Avicennia alba\Avicennia.alba_21.jpg
0.3782582751521565,228.1453212248447,0.6876210923490621,22.51740608056232,0.9842453082463041,Avicennia alba\Avicennia.alba_22.jpg
0.37116178914343156,216.28298216943094,0.6806480476061627,22.80776047781082,0.9845240203128851,Avicennia alba\Avicennia.alba_23.jpg
0.29410824812758196,215.19770651750363,0.6289053828031885,26.3242818390057,0.9850414815880372,Avicennia alba\Avicennia.alba_24.jpg
0.4431256465446068,190.86308328018674,0.727913736657589,19.81179577004156,0.9841822343572675,Avicennia alba\Avicennia.alba_25.jpg
0.4431256465446068,190.86308328018674,0.727913736657589,19.81179577004156,0.9841822343572675,Avicennia alba\Avicennia.alba_26.jpg
0.47781355379478585,249.33496452487285,0.7475829080311971,18.39658289364544,0.9830519261743356,Avicennia alba\Avicennia.alba_27.jpg
0.47781355379478585,249.33496452487285,0.7475829080311971,18.39658289364544,0.9830519261743356,Avicennia alba\Avicennia.alba_28.jpg
0.4810747521297041,201.57545192035082,0.753302317100144,18.274206238077724,0.9815268195911816,Avicennia alba\Avicennia.alba_29.jpg
0.21434780007572934,223.2817289363688,0.5684270863492021,29.983277871291726,0.983660009149324,Avicennia alba\Avicennia.alba_3.jpg
0.4810747521297041,201.57545192035082,0.753302317100144,18.274206238077724,0.9815268195911816,Avicennia alba\Avicennia.alba_30.jpg
0.3258499233048104,192.5887903911567,0.6547154097252348,24.614734878896858,0.9853271306658402,Avicennia alba\Avicennia.alba_31.jpg
0.4043017882373892,187.34007298752857,0.7072077303330484,21.098731608093953,0.9848524398461381,Avicennia alba\Avicennia.alba_32.jpg
0.30500140123582664,286.78968776573055,0.6336214002071896,26.22734931579247,0.9842444128308051,Avicennia alba\Avicennia.alba_33.jpg
0.30500140123582664,286.78968776573055,0.6336214002071896,26.22734931579247,0.9842444128308051,Avicennia alba\Avicennia.alba_34.jpg
0.27511946793689773,251.53895505598183,0.6132494260325506,27.644348963832872,0.9839690156916961,Avicennia alba\Avicennia.alba_35.jpg
0.31672604469037735,238.04655479379272,0.6497349358709543,25.24320495845752,0.9853554743443858,Avicennia alba\Avicennia.alba_36.jpg
0.31672604469037735,238.04655479379272,0.6497349358709543,25.24320495845752,0.9853554743443858,Avicennia alba\Avicennia.alba_37.jpg
0.3213084794029789,204.40501067354194,0.6534070163163754,24.86916312626204,0.9865376779398526,Avicennia alba\Avicennia.alba_38.jpg
0.2986313435412771,201.37095069798795,0.6342749726850497,25.83539162312461,0.9850307667461784,Avicennia alba\Avicennia.alba_39.jpg
0.34184560874706166,218.40244707518457,0.6634876069899713,23.997086015947936,0.984632324585688,Avicennia alba\Avicennia.alba_4.jpg
0.32632768802955725,212.94296742134392,0.6546658706213977,24.6873599450448,0.9870869587303266,Avicennia alba\Avicennia.alba_40.jpg
0.43109606825069835,212.35530373086712,0.725356958479267,19.95331978604727,0.9857430272915501,Avicennia alba\Avicennia.alba_41.jpg
0.43109606825069835,212.35530373086712,0.725356958479267,19.95331978604727,0.9857430272915501,Avicennia alba\Avicennia.alba_42.jpg
0.3878753265421385,214.42803806157843,0.6938020797111565,22.54349339330267,0.9858992858414942,Avicennia alba\Avicennia.alba_43.jpg
0.3878753265421385,214.42803806157843,0.6938020797111565,22.54349339330267,0.9858992858414942,Avicennia alba\Avicennia.alba_44.jpg
0.3395108212356831,252.49043376204577,0.6589565180024357,24.261028347494488,0.9833637882618699,Avicennia alba\Avicennia.alba_45.jpg
0.3395108212356831,252.49043376204577,0.6589565180024357,24.261028347494488,0.9833637882618699,Avicennia alba\Avicennia.alba_46.jpg
0.2915795927462944,331.4726664363669,0.6171476627398582,27.19230905689418,0.9806644012384516,Avicennia alba\Avicennia.alba_47.jpg
