File_Name,Hu_Moment_1,Hu_Moment_2,Hu_Moment_3,Hu_Moment_4,Hu_Moment_5,Hu_Moment_6,Hu_Moment_7,Perimeter,Diameter,Area
Avicennia.alba_1.jpg,0.19874230178053387,0.013200196804610901,0.000165296528333648,5.173409805316348e-05,4.762580120149126e-09,5.843339708979282e-06,4.5290273425444685e-10,1353.4398089647293,141.43502567374935,15711.0
Avicennia.alba_10.jpg,0.21928641083023304,0.02199346399050041,5.688532034120139e-05,1.686078253952374e-05,5.167651896145846e-10,2.1741037458347417e-06,7.497497681794582e-11,1473.9494749307632,134.08259533459403,14120.0
Avicennia.alba_11.jpg,0.21055799634382613,0.015722624857909245,0.0008456761261038314,0.00038158287185043017,2.1676286468904685e-07,4.7534675263952863e-05,3.1605776070193243e-10,1541.2043079137802,138.06400408589533,14971.0
Avicennia.alba_12.jpg,0.24261328228120368,0.03150600191654714,0.0006742406982115982,0.0004006535405994032,2.0823599226120528e-07,7.064192993752025e-05,1.0153504802237266e-09,1419.4641934633255,123.31382681099493,11943.0
Avicennia.alba_13.jpg,0.1985243188355324,0.013620211694052694,9.549645463372103e-05,2.0924759314295544e-05,9.26535269513695e-10,2.323359759522808e-06,1.2826938358137885e-10,1559.1454329490662,153.55909731596893,18520.0
Avicennia.alba_14.jpg,0.228161066515942,0.02503403762823642,0.0003427894000917342,0.00012466692927180136,2.5587577835125217e-08,1.8016919535831808e-05,-3.0738885056179567e-09,1407.907845377922,136.65738553917603,14667.5
Avicennia.alba_15.jpg,0.19595295410261734,0.012371126333338263,6.992022577510297e-05,1.7071296472783026e-05,5.832235743896779e-10,1.720736881581459e-06,-8.779826257950344e-11,1283.439809203148,144.24287642901916,16341.0
Avicennia.alba_16.jpg,0.22292190667729261,0.023536238850587848,1.934009904160112e-05,6.6906270608166036e-06,7.610554338535344e-11,1.024152225448653e-06,-5.95396856537283e-13,1291.037788271904,134.8306872330207,14278.0
Avicennia.alba_17.jpg,0.18142813346178513,0.007388359488406441,2.8421303216818703e-05,2.9918178492132572e-06,2.7022669806741875e-11,2.455369755789686e-07,-5.557772301268874e-12,1705.128188252449,174.60186436394764,23943.5
Avicennia.alba_18.jpg,0.20539813812347585,0.016192247444570915,8.432453397680974e-05,1.3642772808704855e-05,4.392540707226776e-10,1.445580958682546e-06,1.45527168707891e-10,1384.9372818470001,145.64617205769665,16660.5
Avicennia.alba_19.jpg,0.19609848189103504,0.012695776311329296,5.957954531743057e-06,3.037975330974723e-07,-2.1463113402080371e-13,-2.0976089401086688e-08,-3.478286891625464e-13,1243.0134019851685,152.68600480758158,18310.0
Avicennia.alba_2.jpg,0.21679283188149756,0.019522612438476934,0.0002437046805482262,7.994415912554497e-05,1.081677836851529e-08,7.754427007008781e-06,-2.7409848234195793e-09,1457.0794175863266,139.71639875156797,15331.5
Avicennia.alba_20.jpg,0.1825456581911571,0.007582523046783931,4.4040661003285356e-05,3.040056215496829e-06,2.499185345916737e-11,1.156365738206073e-07,2.4754285834991143e-11,1563.187061905861,167.02108191894533,21909.5
Avicennia.alba_21.jpg,0.20076660583507816,0.014548356211652624,2.9801823568758412e-05,6.384757136633396e-06,8.614252510697095e-11,6.60272626241415e-07,1.833432159403653e-11,1380.393125653267,151.25542885983884,17968.5
Avicennia.alba_22.jpg,0.20076660583507816,0.014548356211652624,2.9801823568758412e-05,6.384757136633396e-06,8.614252510697095e-11,6.60272626241415e-07,1.833432159403653e-11,1380.393125653267,151.25542885983884,17968.5
Avicennia.alba_23.jpg,0.19646013377133356,0.012906157618935314,2.6231028830007516e-06,3.492220415923671e-07,2.501619256326499e-13,1.4390730669737559e-08,-2.2166702145625723e-13,1524.4002659320831,152.81936961502083,18342.0
Avicennia.alba_24.jpg,0.1831651624142278,0.0077400877135150314,3.2580002431358447e-06,8.794019985620941e-08,-4.6863537039436194e-14,-7.528436682963395e-09,4.418330945822026e-15,1631.9149852991104,165.86789949425838,21608.0
Avicennia.alba_25.jpg,0.21147095796887036,0.018673945061556563,1.590292092716502e-05,2.3248602015247995e-06,1.0338728188092621e-11,1.2486342096926664e-07,-9.6407365292232e-12,1371.5230685472488,139.25314454731904,15230.0
Avicennia.alba_26.jpg,0.21147095796887036,0.018673945061556563,1.590292092716502e-05,2.3248602015247995e-06,1.0338728188092621e-11,1.2486342096926664e-07,-9.6407365292232e-12,1371.5230685472488,139.25314454731904,15230.0
Avicennia.alba_27.jpg,0.22739548194322867,0.02547874940787286,7.016745374294741e-05,2.4966438725480452e-05,1.033645868667121e-09,3.64863980214041e-06,1.5340519252079271e-10,1322.8956530094147,135.1466657717678,14345.0
Avicennia.alba_28.jpg,0.22739548194322867,0.02547874940787286,7.016745374294741e-05,2.4966438725480452e-05,1.033645868667121e-09,3.64863980214041e-06,1.5340519252079271e-10,1322.8956530094147,135.1466657717678,14345.0
Avicennia.alba_29.jpg,0.22984514758951574,0.026301659903042347,6.4880689761556684e-06,1.7706709553711553e-06,2.3806210685943915e-12,1.8876428383462532e-07,-5.509212965327812e-12,1410.4763852357864,133.58551133725422,14015.5
Avicennia.alba_3.jpg,0.18191927802978106,0.007519096372375641,2.124592439599186e-05,2.6448168517192516e-06,1.9644310848792347e-11,2.2136624396081118e-07,2.6766214312512543e-12,1461.5058237314224,180.81021865589457,25676.5
Avicennia.alba_30.jpg,0.22984514758951574,0.026301659903042347,6.4880689761556684e-06,1.7706709553711553e-06,2.3806210685943915e-12,1.8876428383462532e-07,-5.509212965327812e-12,1410.4763852357864,133.58551133725422,14015.5
